t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
29.253,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,6,0,7,0,1,0,168,1,243,12,87,11,0,0
29.269,hid,"18,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,2,0,15,0,1,0,154,1,7,13,78,11,0,0
29.3,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,249,255,6,0,3,0,167,1,10,13,103,11,0,0
29.3,hid,"20,24,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,249,255,5,0,3,0,166,1,10,13,104,11,0,0
29.331,hid,"20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,249,255,10,0,0,0,172,1,2,13,102,11,0,0
29.346,hid,"18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,248,255,13,0,2,0,147,1,255,12,106,11,0,0
29.378,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,170,241,255,255,10,0,5,0,169,1,240,12,128,11,0,0
29.393,hid,"16,17,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,169,235,248,255,5,0,2,0,184,1,249,12,95,11,0,0
29.409,hid,"16,18,20,22,24,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,166,235,236,255,9,0,1,0,167,1,249,12,94,11,0,0
29.441,hid,"16,17,18,20,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,162,227,242,255,12,0,1,0,146,1,228,12,113,11,0,0
29.473,hid,"16,17,18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,224,248,255,7,0,4,0,151,1,247,12,123,11,0,0
29.489,hid,"17,18,20,22,24,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,250,255,9,0,6,0,162,1,247,12,104,11,0,0
29.519,hid,"18,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,251,255,9,0,1,0,151,1,231,12,129,11,0,0
29.535,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,255,255,5,0,0,0,155,1,233,12,125,11,0,0
29.549,hid,"18,19,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,1,0,3,0,254,255,157,1,235,12,123,11,0,0
29.565,hid,"18,19,20,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,253,255,1,0,254,255,158,1,3,13,109,11,0,0
29.596,hid,"18,20,22,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,249,255,3,0,252,255,160,1,245,12,112,11,0,0
29.611,hid,"18,19,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,0,0,2,0,251,255,161,1,252,12,118,11,0,0
29.627,hid,"18,19,20,21,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,251,255,252,255,253,255,176,1,250,12,113,11,0,0
29.659,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,242,255,254,255,0,0,158,1,251,12,98,11,0,0
29.674,hid,"18,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,238,255,254,255,0,0,159,1,4,13,113,11,0,0
29.689,hid,"18,20,22,23,24,26,27,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,244,255,253,255,254,255,150,1,245,12,143,11,0,0
29.72,hid,"18,20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,245,255,254,255,255,255,161,1,242,12,110,11,0,0
29.721,hid,"18,20,21,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,247,255,1,0,0,0,163,1,241,12,107,11,0,0
29.751,hid,"20,22,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,247,255,10,0,1,0,148,1,252,12,111,11,0,0
29.767,hid,"18,20,22,23,24,26,28",4,90,165,239,100,255,224,254,236,255,224,255,0,48,0,0,161,222,248,255,4,0,254,255,159,1,228,12,145,11,0,0
