t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
3.591,0.00253,0.0,0.0,0.0,0.0396,0.0,0.00567,0.0,42,7,5.481
3.611,0.00334,0.00369,0.0,0.0,0.025,0.0219,0.00865,0.00957,60,65,5.561
3.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12,5.382
3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,5.21
3.672,0.00312,0.00298,0.0,0.0,0.0428,0.049,0.0077,0.00719,52,49,5.331
3.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,5.162
3.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,4.998
3.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.842
3.751,0.0,0.00255,0.0,0.0,0.0,0.0574,0.0,0.00553,0,37,5.019
3.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,4.862
3.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4.71
3.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.565
3.831,0.00282,0.0,0.0,0.0,0.0219,0.0,0.00659,0.0,41,0,4.785
3.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,4.637
3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4.494
3.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.357
3.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.226
3.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.099
3.951,0.0,0.002,0.0,0.0,0.0,0.0428,0.0,0.00554,0,30,4.391
3.971,0.0,0.00233,0.0,0.0,0.0,0.0396,0.0,0.00554,0,34,4.638
3.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,4.495
4.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4.358
4.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.227
4.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.1
4.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.978
4.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.862
4.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.749
4.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.642
4.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.538
4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.439
4.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.343
4.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.251
4.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.163
4.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.078
4.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.997
4.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.918
4.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.843
4.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.771
4.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.701
4.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.635
4.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.571
4.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.509
4.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.45
4.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.393
4.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.338
4.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.286
4.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.235
4.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.187
4.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.14
4.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.096
4.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.053
4.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.011
4.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.972
4.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.934
4.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.897
4.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.862
4.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.828
4.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.796
4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.764
4.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.734
4.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.706
4.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.678
4.832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.651
4.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.626
4.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.601
4.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.578
4.911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.555
4.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.533
