t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
3.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
3.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
4.116,0.00379,0.0,0.0,0.0,0.0083,0.0,0.00697,0.0,180,0,1.768
4.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1.737
4.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.709
4.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.681
4.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.654
4.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.628
4.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.604
4.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.58
4.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.557
4.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.536
4.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.515
4.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.494
4.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.475
4.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.456
4.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.438
4.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.421
4.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.405
4.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.389
4.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.374
4.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.359
4.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.345
4.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.331
4.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.318
4.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.306
4.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.294
4.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.282
4.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.271
4.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.261
4.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.25
4.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.241
4.717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.231
4.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.222
4.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.213
4.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.205
4.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.197
4.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.189
4.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.182
4.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.175
4.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.168
4.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.161
4.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.155
4.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.149
4.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.143
4.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.137
4.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.132
5.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.127
